,GENE_ID,GENE,Chr
18587,ENSG00000273769,L1CAM-AS1,X
18588,ENSG00000280705,,HSCHR22_4_CTG1
18589,ENSG00000146378,TAAR2,6
18590,ENSG00000236794,BCRP8,22
18591,ENSG00000283563,,3
18592,ENSG00000281908,,HSCHR22_4_CTG1
18593,ENSG00000240160,RN7SL263P,22
18594,ENSG00000281757,,HSCHR22_4_CTG1
18595,ENSG00000230701,FBXW4P1,22
18596,ENSG00000165152,PGAP4,9
18597,ENSG00000281004,CYP2D8P,HSCHR22_4_CTG1
18598,ENSG00000288683,,22
18599,ENSG00000123545,NDUFAF4,6
18600,ENSG00000284804,LINC02025,HSCHR3_4_CTG1
18601,ENSG00000102032,RENBP,X
18602,ENSG00000233055,,9
18603,ENSG00000189007,ADAT2,6
18604,ENSG00000286574,,HSCHR3_4_CTG1
18605,ENSG00000155827,RNF20,9
18606,ENSG00000177453,NIM1K,5
18607,ENSG00000126603,GLIS2,16
18608,ENSG00000132429,POPDC3,6
18609,ENSG00000154783,FGD5,3
18610,ENSG00000234758,,5
18611,ENSG00000250405,,5
18612,ENSG00000262095,MTATP6P25,6
18613,ENSG00000249438,KRT18P45,5
18614,ENSG00000229036,VDAC1P8,6
18615,ENSG00000249878,,5
18616,ENSG00000262686,GLIS2-AS1,16
18617,ENSG00000100116,GCAT,22
18618,ENSG00000250331,LINC01340,5
18619,ENSG00000217930,PAM16,16
18620,ENSG00000250437,LINC02161,5
18621,ENSG00000218716,RPL12P23,6
18622,ENSG00000285159,,6
18623,ENSG00000272416,,5
18624,ENSG00000250853,RNF138P1,5
18625,ENSG00000112195,TREML2,6
18626,ENSG00000270230,MTND6P22,5
18627,ENSG00000058729,RIOK2,5
18628,ENSG00000284999,,6
18629,ENSG00000256393,RPL41P5,12
18630,ENSG00000258035,,12
18631,ENSG00000263270,,HSCHR4_1_CTG6
18632,ENSG00000111817,DSE,6
18633,ENSG00000288102,,12
18634,ENSG00000257802,MRS2P2,12
18635,ENSG00000258365,,12
18636,ENSG00000285191,,12
18637,ENSG00000258292,LINC02410,12
18638,ENSG00000257953,,12
18639,ENSG00000258016,HIGD1AP1,12
18640,ENSG00000258312,,12
18641,ENSG00000165973,NELL1,11
18642,ENSG00000257454,,12
18643,ENSG00000172534,HCFC1,X
18644,ENSG00000257239,,12
18645,ENSG00000256917,,12
18646,ENSG00000286591,,12
18647,ENSG00000188386,PPP3R2,9
18648,ENSG00000133640,LRRIQ1,12
18649,ENSG00000136881,BAAT,9
18650,ENSG00000251574,,5
18651,ENSG00000273984,MUC4,HSCHR3_7_CTG3
18652,ENSG00000128310,GALR3,22
18653,ENSG00000253400,,9
18654,ENSG00000120159,CAAP1,9
18655,ENSG00000264431,,17
18656,ENSG00000284197,MIR658,22
18657,ENSG00000263435,,17
18658,ENSG00000207696,MIR659,22
18659,ENSG00000226049,TLK2P1,17
18660,ENSG00000264643,,17
18661,ENSG00000100129,EIF3L,22
18662,ENSG00000276023,DUSP14,17
18663,ENSG00000238311,SNORD13E,15
18664,ENSG00000264737,MIR4511,15
18665,ENSG00000251616,,5
18666,ENSG00000103769,RAB11A,15
18667,ENSG00000176857,GJA1P1,5
18668,ENSG00000213091,PHB1P1,6
18669,ENSG00000229855,,5
18670,ENSG00000276687,,6
18671,ENSG00000255033,SERPINA15P,8
18672,ENSG00000253407,,8
18673,ENSG00000164494,PDSS2,6
18674,ENSG00000164764,SBSPON,8
18675,ENSG00000292096,HAT1,HSCHR2_11_CTG7_2
18676,ENSG00000262712,,16
18677,ENSG00000170549,IRX1,5
18678,ENSG00000257666,CBX3P5,12
18679,ENSG00000141447,OSBPL1A,18
18680,ENSG00000257183,,12
18681,ENSG00000103426,CORO7-PAM16,16
18682,ENSG00000292097,METAP1D,HSCHR2_11_CTG7_2
18683,ENSG00000232466,H3P31,9
18684,ENSG00000240306,RN7SL100P,9
18685,ENSG00000292098,DLX1,HSCHR2_11_CTG7_2
18686,ENSG00000253672,,8
18687,ENSG00000137055,PLAA,9
18688,ENSG00000005156,LIG3,17
18689,ENSG00000281630,MUC20,HSCHR3_7_CTG3
18690,ENSG00000228290,TBX18-AS1,6
18691,ENSG00000184838,PRR16,5
18692,ENSG00000292099,SLC25A12,HSCHR2_11_CTG7_2
18693,ENSG00000281418,SDHAP2,HSCHR3_7_CTG3
18694,ENSG00000281654,,HSCHR3_7_CTG3
18695,ENSG00000281583,PPP4R2P6,HSCHR3_7_CTG3
18696,ENSG00000153233,PTPRR,12
18697,ENSG00000215712,TMEM242,6
18698,ENSG00000280621,,HSCHR4_2_CTG12
18699,ENSG00000184428,TOP1MT,8
18700,ENSG00000292100,RPL21P38,HSCHR2_11_CTG7_2
18701,ENSG00000261544,,15
18702,ENSG00000292101,RNU6-182P,HSCHR2_11_CTG7_2
18703,ENSG00000259924,,15
18704,ENSG00000249271,HNRNPA1P44,15
18705,ENSG00000285733,,6
18706,ENSG00000253366,GUSBP16,5
18707,ENSG00000292102,DYNC1I2,HSCHR2_11_CTG7_2
18708,ENSG00000283249,,15
18709,ENSG00000201084,,15
18710,ENSG00000259968,,5
18711,ENSG00000235802,HCFC1-AS1,X
18712,ENSG00000279912,,15
18713,ENSG00000216642,,6
18714,ENSG00000251367,,5
18715,ENSG00000271078,,15
18716,ENSG00000177854,TMEM187,X
18717,ENSG00000214108,TPT1P5,5
18718,ENSG00000207257,RNU6-18P,15
18719,ENSG00000229349,ACTG1P9,6
18720,ENSG00000260211,,15
18721,ENSG00000236366,,6
18722,ENSG00000145826,LECT2,5
18723,ENSG00000260642,,15
18724,ENSG00000288627,,15
18725,ENSG00000261491,DNM1P31,15
18726,ENSG00000265176,MIR3202-1,X
18727,ENSG00000283694,MIR3202-2,X
18728,ENSG00000284286,MIR718,X
18729,ENSG00000202024,RNU6-934P,X
18730,ENSG00000281794,MUC20-OT1,HSCHR3_4_CTG3
18731,ENSG00000126953,TIMM8A,X
18732,ENSG00000275776,RN7SL185P,15
18733,ENSG00000215304,,15
18734,ENSG00000057663,ATG5,6
18735,ENSG00000206987,,15
18736,ENSG00000261708,DNM1P32,15
18737,ENSG00000280063,,16
18738,ENSG00000206127,GOLGA8O,15
18739,ENSG00000292103,,HSCHR2_11_CTG7_2
18740,ENSG00000241343,RPL36A,X
18741,ENSG00000292104,,HSCHR2_11_CTG7_2
18742,ENSG00000283095,,10
18743,ENSG00000224190,LINC02667,10
18744,ENSG00000205644,,5
18745,ENSG00000249261,,5
18746,ENSG00000248955,,5
18747,ENSG00000276164,DUX4L20,10
18748,ENSG00000251513,LIX1-AS1,5
18749,ENSG00000154485,MMP21,10
18750,ENSG00000249150,,5
18751,ENSG00000249249,TICAM2-AS1,5
18752,ENSG00000262246,CORO7,16
18753,ENSG00000249791,,5
18754,ENSG00000234676,IFT74-AS1,9
18755,ENSG00000113361,CDH6,5
18756,ENSG00000184434,LRRC19,9
18757,ENSG00000287327,,10
18758,ENSG00000257529,RPL36A-HNRNPH2,X
18759,ENSG00000254396,,9
18760,ENSG00000223162,RNA5SP280,9
18761,ENSG00000232867,RPL36AP34,9
18762,ENSG00000175470,PPP2R2D,10
18763,ENSG00000120160,EQTN,9
18764,ENSG00000274076,RN7SL539P,15
18765,ENSG00000270789,,15
18766,ENSG00000261375,GOLGA6L23P,15
18767,ENSG00000126945,HNRNPH2,X
18768,ENSG00000254912,MPHOSPH10P2,15
18769,ENSG00000223509,WHAMMP1,15
18770,ENSG00000262919,CCNQ,X
18771,ENSG00000237603,HMGB3P12,3
18772,ENSG00000280359,,15
18773,ENSG00000259213,,15
18774,ENSG00000237734,,9
18775,ENSG00000261244,,15
18776,ENSG00000242066,RN7SL214P,15
18777,ENSG00000261403,,15
18778,ENSG00000228351,,3
18779,ENSG00000259792,,15
18780,ENSG00000199633,,15
18781,ENSG00000152413,HOMER1,5
18782,ENSG00000178445,GLDC,9
18783,ENSG00000136425,CIB2,15
18784,ENSG00000283630,FRG1,HSCHR4_11_CTG12
18785,ENSG00000283397,MLLT10P2,HSCHR4_11_CTG12
18786,ENSG00000170248,PDCD6IP,3
18787,ENSG00000283437,,HSCHR4_11_CTG12
18788,ENSG00000292158,RPS3A,HSCHR4_2_CTG8_1
18789,ENSG00000283655,TUBB7P,HSCHR4_11_CTG12
18790,ENSG00000283308,RNA5SP174,HSCHR4_11_CTG12
18791,ENSG00000283282,RNA5SP175,HSCHR4_11_CTG12
18792,ENSG00000283184,DUX4L9,HSCHR4_11_CTG12
18793,ENSG00000285202,FRG2,HSCHR4_11_CTG12
18794,ENSG00000283250,RARRES2P4,HSCHR4_11_CTG12
18795,ENSG00000283570,DUX4L8,HSCHR4_11_CTG12
18796,ENSG00000284475,,HSCHR4_11_CTG12
18797,ENSG00000284002,,HSCHR4_11_CTG12
18798,ENSG00000283830,,HSCHR4_11_CTG12
18799,ENSG00000283898,,HSCHR4_11_CTG12
18800,ENSG00000284502,,HSCHR4_11_CTG12
18801,ENSG00000292162,SNORD73B,HSCHR4_2_CTG8_1
18802,ENSG00000283893,,HSCHR4_11_CTG12
18803,ENSG00000284156,,HSCHR4_11_CTG12
18804,ENSG00000292165,SH3D19,HSCHR4_2_CTG8_1
18805,ENSG00000284507,,HSCHR4_11_CTG12
18806,ENSG00000281094,,HSCHR3_4_CTG3
18807,ENSG00000284066,,HSCHR4_11_CTG12
18808,ENSG00000278114,MUC20,HSCHR3_4_CTG3
18809,ENSG00000284174,,HSCHR4_11_CTG12
18810,ENSG00000280733,LINC01238,HSCHR2_1_CTG15
18811,ENSG00000283834,DUX4L2,HSCHR4_11_CTG12
18812,ENSG00000284298,,HSCHR4_11_CTG12
18813,ENSG00000280691,,HSCHR2_1_CTG15
18814,ENSG00000280591,,HSCHR2_1_CTG15
18815,ENSG00000177640,CASC2,10
18816,ENSG00000280980,LINC01880,HSCHR2_1_CTG15
18817,ENSG00000281782,,HSCHR2_1_CTG15
18818,ENSG00000278468,MUC4,HSCHR3_4_CTG3
18819,ENSG00000260081,MRFAP1P1,X
18820,ENSG00000292164,SNORD73A,HSCHR4_2_CTG8_1
18821,ENSG00000292159,,HSCHR4_2_CTG8_1
18822,ENSG00000292157,,HSCHR4_2_CTG8_1
18823,ENSG00000292161,,HSCHR4_2_CTG8_1
18824,ENSG00000217889,KRT18P48,X
18825,ENSG00000292163,RNU6-1282P,HSCHR4_2_CTG8_1
18826,ENSG00000292160,,HSCHR4_2_CTG8_1
18827,ENSG00000292166,PRSS48,HSCHR4_2_CTG8_1
18828,ENSG00000264970,WEE1P2,17
18829,ENSG00000130821,SLC6A8,X
18830,ENSG00000226117,,17
18831,ENSG00000283381,,17
18832,ENSG00000141738,GRB7,17
18833,ENSG00000255508,,11
18834,ENSG00000250705,H3P23,5
18835,ENSG00000100139,MICALL1,22
18836,ENSG00000270779,,5
18837,ENSG00000259861,,5
18838,ENSG00000249797,LINC02147,5
18839,ENSG00000213543,RARRES2P2,10
18840,ENSG00000234677,,10
18841,ENSG00000166411,IDH3A,15
18842,ENSG00000280337,DUX4L25,10
18843,ENSG00000281743,PPP4R2P6,HSCHR3_4_CTG3
18844,ENSG00000287466,,10
18845,ENSG00000281237,SDHAP2,HSCHR3_4_CTG3
18846,ENSG00000248730,EGFLAM-AS4,5
18847,ENSG00000280953,LINC01163,10
18848,ENSG00000286543,,5
18849,ENSG00000250669,,5
18850,ENSG00000287373,,11
18851,ENSG00000250461,,5
18852,ENSG00000250659,,11
18853,ENSG00000138161,CUZD1,10
18854,ENSG00000240056,,6
18855,ENSG00000283122,HYMAI,6
18856,ENSG00000148950,IMMP1L,11
18857,ENSG00000271040,TMEM242-DT,6
18858,ENSG00000228834,ATP5MFP2,6
18859,ENSG00000217041,,6
18860,ENSG00000287976,,6
18861,ENSG00000225879,,6
18862,ENSG00000217169,MTHFD2P2,6
18863,ENSG00000112378,PERP,6
18864,ENSG00000111962,UST,6
18865,ENSG00000112992,NNT,5
18866,ENSG00000229324,NUTF2P7,X
18867,ENSG00000212605,RNU1-56P,X
18868,ENSG00000227536,SOCS5P4,X
18869,ENSG00000241105,,8
18870,ENSG00000147164,SNX12,X
18871,ENSG00000213087,,6
18872,ENSG00000241204,,8
18873,ENSG00000131019,ULBP3,6
18874,ENSG00000104499,GML,8
18875,ENSG00000232563,CRB3P1,3
18876,ENSG00000231382,NBPF21P,3
18877,ENSG00000219087,MTND4LP19,6
18878,ENSG00000285797,,6
18879,ENSG00000278206,,6
18880,ENSG00000224417,,6
18881,ENSG00000231912,,6
18882,ENSG00000188916,INSYN2A,10
18883,ENSG00000237596,PDE7B-AS1,6
18884,ENSG00000281758,KCNIP4,HSCHR4_1_CTG4
18885,ENSG00000271113,,8
18886,ENSG00000281559,RPL31P25,HSCHR4_1_CTG4
18887,ENSG00000253143,,8
18888,ENSG00000280838,,HSCHR4_1_CTG4
18889,ENSG00000253156,H2AZP7,8
18890,ENSG00000232958,MTARC2P1,3
18891,ENSG00000281470,,HSCHR4_1_CTG4
18892,ENSG00000270137,,8
18893,ENSG00000251576,LINC01267,3
18894,ENSG00000253728,,8
18895,ENSG00000101605,MYOM1,18
18896,ENSG00000276582,ABCB11,HSCHR2_1_CTG7_2
18897,ENSG00000234616,JRK,8
18898,ENSG00000276964,DUX4L23,10
18899,ENSG00000234134,,10
18900,ENSG00000287655,,10
18901,ENSG00000278373,G6PC2,HSCHR2_1_CTG7_2
18902,ENSG00000213170,SAR1AP2,10
18903,ENSG00000233435,AGGF1P2,10
18904,ENSG00000236173,,6
18905,ENSG00000205029,OR5D16,11
18906,ENSG00000218772,FAM8A6P,6
18907,ENSG00000254914,,11
18908,ENSG00000288101,,6
18909,ENSG00000277909,SPC25,HSCHR2_1_CTG7_2
18910,ENSG00000184481,FOXO4,X
18911,ENSG00000220908,LINC02531,6
18912,ENSG00000176971,FIBIN,11
18913,ENSG00000218173,,6
18914,ENSG00000120008,WDR11,10
18915,ENSG00000228231,TINAG-AS1,6
18916,ENSG00000276616,DUX4L9,HSCHR4_6_CTG12
18917,ENSG00000280590,,HSCHR4_6_CTG12
18918,ENSG00000144455,SUMF1,3
18919,ENSG00000255431,OR5B19P,11
18920,ENSG00000173876,TUBB7P,HSCHR4_6_CTG12
18921,ENSG00000280930,,HSCHR4_6_CTG12
18922,ENSG00000051620,HEBP2,6
18923,ENSG00000255267,LINC02687,11
18924,ENSG00000274972,FRG2,HSCHR4_6_CTG12
18925,ENSG00000275326,NOSTRIN,HSCHR2_1_CTG7_2
18926,ENSG00000281543,FRG1-DT,HSCHR4_6_CTG12
18927,ENSG00000281409,,HSCHR4_6_CTG12
18928,ENSG00000280732,,HSCHR4_6_CTG12
18929,ENSG00000131979,GCH1,14
18930,ENSG00000100412,ACO2,22
18931,ENSG00000275145,FRG1,HSCHR4_6_CTG12
18932,ENSG00000110107,PRPF19,11
18933,ENSG00000204165,CXorf65,X
18934,ENSG00000219387,ATF1P1,6
18935,ENSG00000216480,RPL21P69,6
18936,ENSG00000281015,LINC01596,HSCHR4_6_CTG12
18937,ENSG00000131016,AKAP12,6
18938,ENSG00000277908,RNU1-51P,HSCHR4_6_CTG12
18939,ENSG00000271306,RAC1P9,7
18940,ENSG00000275999,,HSCHR4_6_CTG12
18941,ENSG00000277584,,HSCHR4_6_CTG12
18942,ENSG00000236610,SOCS5P1,7
18943,ENSG00000197353,LYPD2,8
18944,ENSG00000226587,,7
18945,ENSG00000287488,,7
18946,ENSG00000231255,,7
18947,ENSG00000285171,,X
18948,ENSG00000236938,,7
18949,ENSG00000230796,,7
18950,ENSG00000237760,,7
18951,ENSG00000284925,GCSAM,HSCHR3_6_CTG2_1
18952,ENSG00000283992,SLURP2,8
18953,ENSG00000234185,,7
18954,ENSG00000234105,,7
18955,ENSG00000005981,ASB4,7
18956,ENSG00000169562,GJB1,X
18957,ENSG00000285293,TBILA,HSCHR3_6_CTG2_1
18958,ENSG00000179142,CYP11B2,8
18959,ENSG00000216723,NUDT19P3,6
18960,ENSG00000230290,ARMC2-AS1,6
18961,ENSG00000285044,SLC9C1,HSCHR3_6_CTG2_1
18962,ENSG00000155918,RAET1L,6
18963,ENSG00000285255,INAVAP1,HSCHR3_6_CTG2_1
18964,ENSG00000253627,,8
18965,ENSG00000281641,SAMD12-AS1,8
18966,ENSG00000224551,HMGB3P21,7
18967,ENSG00000136936,XPA,9
18968,ENSG00000227923,,7
18969,ENSG00000234700,MTCO1P8,7
18970,ENSG00000112742,TTK,6
18971,ENSG00000230196,DDX43P3,7
18972,ENSG00000230600,,7
18973,ENSG00000230927,TMBIM7P,7
18974,ENSG00000277576,,8
18975,ENSG00000287201,,8
18976,ENSG00000253421,ZNHIT1P1,8
18977,ENSG00000268056,,19
18978,ENSG00000147655,RSPO2,8
18979,ENSG00000266913,LINC01841,19
18980,ENSG00000127993,RBM48,7
18981,ENSG00000271886,MIR98,X
18982,ENSG00000208012,MIRLET7F2,X
18983,ENSG00000131263,RLIM,X
18984,ENSG00000176923,OR7A15P,19
18985,ENSG00000264174,,17
18986,ENSG00000105141,CASP14,19
18987,ENSG00000258846,EEF1A1P33,12
18988,ENSG00000165802,NSMF,9
18989,ENSG00000203585,LINC02408,12
18990,ENSG00000260988,,15
18991,ENSG00000255446,,11
18992,ENSG00000242276,RPL5P3,15
18993,ENSG00000261242,,14
18994,ENSG00000254906,,11
18995,ENSG00000258338,,12
18996,ENSG00000230673,PABPC1P3,X
18997,ENSG00000259781,HMGB1P6,15
18998,ENSG00000261340,LINC01616,11
18999,ENSG00000205767,RPL31P5,14
19000,ENSG00000287264,,11
19001,ENSG00000270878,GCATP1,14
19002,ENSG00000199885,RNU6-330P,X
19003,ENSG00000258800,,14
19004,ENSG00000271589,,X
19005,ENSG00000242689,CNTF,11
19006,ENSG00000258645,HSPE1P2,14
19007,ENSG00000280038,DNM1P41,15
19008,ENSG00000050030,NEXMIF,X
19009,ENSG00000259694,,15
19010,ENSG00000202490,RNU6-597P,14
19011,ENSG00000279717,,19
19012,ENSG00000206822,,14
19013,ENSG00000267961,OR10B1P,19
19014,ENSG00000259726,CSPG4P11,15
19015,ENSG00000207172,RNU6-1162P,14
19016,ENSG00000200693,,14
19017,ENSG00000258778,EIF2S2P1,14
19018,ENSG00000255126,,11
19019,ENSG00000252749,RNU7-116P,14
19020,ENSG00000258411,,14
19021,ENSG00000270912,RPS28P1,14
19022,ENSG00000278422,RN7SL331P,15
19023,ENSG00000259633,UBE2Q2P8,15
19024,ENSG00000202182,,14
19025,ENSG00000221537,MIR548H1,14
19026,ENSG00000214770,,14
19027,ENSG00000259683,,15
19028,ENSG00000172819,RARG,12
19029,ENSG00000254389,RHPN1-AS1,8
19030,ENSG00000237709,EEF1A1P28,7
19031,ENSG00000253715,,8
19032,ENSG00000169519,METTL15,11
19033,ENSG00000284664,,14
19034,ENSG00000244056,RN7SL417P,15
19035,ENSG00000249917,LINC00536,8
19036,ENSG00000271511,,14
19037,ENSG00000259570,,15
19038,ENSG00000196273,LINC00523,14
19039,ENSG00000127989,MTERF1,7
19040,ENSG00000272887,CSPG4P5,15
19041,ENSG00000214016,RPSAP61,X
19042,ENSG00000281848,TOMM40P4,HSCHR2_3_CTG7_2
19043,ENSG00000242065,RN7SL291P,X
19044,ENSG00000274362,CDRT15P3,HSCHR2_3_CTG7_2
19045,ENSG00000189037,DUSP21,X
19046,ENSG00000274392,,HSCHR2_3_CTG7_2
19047,ENSG00000259538,UBE2Q2P11,15
19048,ENSG00000259774,,15
19049,ENSG00000290517,,HSCHR2_3_CTG7_2
19050,ENSG00000240237,RPL21P78,8
19051,ENSG00000147113,DIPK2B,X
19052,ENSG00000253153,,8
19053,ENSG00000278785,,15
19054,ENSG00000064490,RFXANK,19
19055,ENSG00000092470,WDR76,15
19056,ENSG00000292167,PRDM9,HSCHR5_10_CTG1
19057,ENSG00000171045,TSNARE1,8
19058,ENSG00000258717,,14
19059,ENSG00000292168,,HSCHR5_10_CTG1
19060,ENSG00000185559,DLK1,14
19061,ENSG00000230934,,X
19062,ENSG00000281852,LINC00891,X
19063,ENSG00000270812,,7
19064,ENSG00000237182,,X
19065,ENSG00000213854,CNN2P6,3
19066,ENSG00000106236,NPTX2,7
19067,ENSG00000237717,,X
19068,ENSG00000224617,,X
19069,ENSG00000229030,,X
19070,ENSG00000230162,CT45A11P,X
19071,ENSG00000219930,GAPDHP67,X
19072,ENSG00000231513,E2F6P4,X
19073,ENSG00000239080,,X
19074,ENSG00000214720,KRT18P49,X
19075,ENSG00000227610,FRMPD3-AS1,X
19076,ENSG00000147224,PRPS1,X
19077,ENSG00000285406,MIR4789,HSCHR3_8_CTG2_1
19078,ENSG00000285461,RNU6-1233P,HSCHR3_8_CTG2_1
19079,ENSG00000286706,,HSCHR3_8_CTG2_1
19080,ENSG00000237572,,7
19081,ENSG00000230191,IFITM3P4,7
19082,ENSG00000285725,,7
19083,ENSG00000270957,,7
19084,ENSG00000236861,BET1-AS1,7
19085,ENSG00000242950,ERVW-1,7
19086,ENSG00000144642,RBMS3,3
19087,ENSG00000272950,,7
19088,ENSG00000228751,,7
19089,ENSG00000278540,ACACA,17
19090,ENSG00000285740,,11
19091,ENSG00000203462,,7
19092,ENSG00000171311,EXOSC1,10
19093,ENSG00000256463,SALL3,18
19094,ENSG00000164645,TEX47,7
19095,ENSG00000281800,ICE2P1,HSCHR4_5_CTG12
19096,ENSG00000281580,LINC01060,HSCHR4_5_CTG12
19097,ENSG00000200391,,15
19098,ENSG00000227973,PIN4P1,15
19099,ENSG00000176697,BDNF,11
19100,ENSG00000228429,,7
19101,ENSG00000281482,RPL7AP27,HSCHR4_5_CTG12
19102,ENSG00000156970,BUB1B,15
19103,ENSG00000233454,,7
19104,ENSG00000006128,TAC1,7
19105,ENSG00000126233,SLURP1,8
19106,ENSG00000091157,WDR7,18
19107,ENSG00000223697,,8
19108,ENSG00000271240,,8
19109,ENSG00000155897,ADCY8,8
19110,ENSG00000130385,BMP15,X
19111,ENSG00000214548,MEG3,14
19112,ENSG00000275113,GAGE2E,X
19113,ENSG00000248763,,4
19114,ENSG00000275151,,HSCHR5_2_CTG1
19115,ENSG00000279969,,HSCHR5_2_CTG1
19116,ENSG00000286124,,4
19117,ENSG00000274882,LINC02109,HSCHR5_2_CTG1
19118,ENSG00000277995,,HSCHR5_2_CTG1
19119,ENSG00000168140,VASN,16
19120,ENSG00000172403,SYNPO2,4
19121,ENSG00000236737,GAGE12B,X
19122,ENSG00000213856,VDAC1P2,X
19123,ENSG00000227391,SALL1P1,X
19124,ENSG00000068985,PAGE1,X
19125,ENSG00000103423,DNAJA3,16
19126,ENSG00000179241,LDLRAD3,11
19127,ENSG00000231178,,6
19128,ENSG00000284805,RNU6-823P,HSCHR3_9_CTG2_1
19129,ENSG00000218896,TUBB8P2,6
19130,ENSG00000284869,EEFSEC,HSCHR3_9_CTG2_1
19131,ENSG00000217085,HMGB3P19,6
19132,ENSG00000260771,,6
19133,ENSG00000132432,SEC61G,7
19134,ENSG00000287877,,6
19135,ENSG00000285949,,HSCHR3_9_CTG2_1
19136,ENSG00000286540,,6
19137,ENSG00000276620,,6
19138,ENSG00000225148,,6
19139,ENSG00000216990,HSPD1P10,6
19140,ENSG00000220340,MTCO1P56,6
19141,ENSG00000234675,,6
19142,ENSG00000274594,,6
19143,ENSG00000101951,PAGE4,X
19144,ENSG00000112306,RPS12,6
19145,ENSG00000255355,PATL1-DT,11
19146,ENSG00000285887,,6
19147,ENSG00000166902,MRPL16,11
19148,ENSG00000164411,GJB7,6
19149,ENSG00000253259,,8
19150,ENSG00000253593,,8
19151,ENSG00000235168,,6
19152,ENSG00000286535,,8
19153,ENSG00000254249,,8
19154,ENSG00000153721,CNKSR3,6
19155,ENSG00000252454,MIR2114,X
19156,ENSG00000234825,XRCC6P2,X
19157,ENSG00000180155,LYNX1,8
19158,ENSG00000271339,,X
19159,ENSG00000231164,RPL7P56,X
19160,ENSG00000225125,RANP4,X
19161,ENSG00000232611,,X
19162,ENSG00000225400,RAB28P5,X
19163,ENSG00000234640,,10
19164,ENSG00000286418,,11
19165,ENSG00000236991,EDRF1-AS1,10
19166,ENSG00000282891,STATH,HSCHR4_9_CTG12
19167,ENSG00000147274,RBMX,X
19168,ENSG00000285751,,11
19169,ENSG00000271028,,11
19170,ENSG00000254651,,11
19171,ENSG00000279395,OR5L1,11
19172,ENSG00000282967,HTN3,HSCHR4_9_CTG12
19173,ENSG00000254862,LGR4-AS1,11
19174,ENSG00000279505,,12
19175,ENSG00000286114,,10
19176,ENSG00000258066,,12
19177,ENSG00000255041,,11
19178,ENSG00000128581,IFT22,7
19179,ENSG00000283046,HTN1,HSCHR4_9_CTG12
19180,ENSG00000255505,,11
19181,ENSG00000233917,POTEB,15
19182,ENSG00000271332,ATP5MGP8,11
19183,ENSG00000203780,FANK1,10
19184,ENSG00000258303,,12
19185,ENSG00000213522,RAC1P5,4
19186,ENSG00000148943,LIN7C,11
19187,ENSG00000283090,CSN1S2AP,HSCHR4_9_CTG12
19188,ENSG00000090382,LYZ,12
19189,ENSG00000250484,PPIAP76,4
19190,ENSG00000282868,PRR27,HSCHR4_9_CTG12
19191,ENSG00000171195,MUC7,4
19192,ENSG00000284897,RNU6-360P,HSCHR2_8_CTG7_2
19193,ENSG00000285055,RPL9P14,HSCHR2_8_CTG7_2
19194,ENSG00000285342,RNA5SP116,HSCHR2_8_CTG7_2
19195,ENSG00000285271,RPL12P17,HSCHR2_8_CTG7_2
19196,ENSG00000285434,CRYGD,HSCHR2_8_CTG7_2
19197,ENSG00000285011,CRYGC,HSCHR2_8_CTG7_2
19198,ENSG00000285058,CRYGEP,HSCHR2_8_CTG7_2
19199,ENSG00000290622,,HSCHR2_8_CTG7_2
19200,ENSG00000286122,LINC02964,8
19201,ENSG00000284505,LYNX1-SLURP2,8
19202,ENSG00000255421,,11
19203,ENSG00000132749,TESMIN,11
19204,ENSG00000178764,ZHX2,8
19205,ENSG00000164099,PRSS12,4
19206,ENSG00000067798,NAV3,12
19207,ENSG00000286266,,8
19208,ENSG00000253824,,8
19209,ENSG00000176231,OR10H4,19
19210,ENSG00000263238,CTSO,HSCHR4_1_CTG12
19211,ENSG00000262505,ASIC5,HSCHR4_1_CTG12
19212,ENSG00000253992,,8
19213,ENSG00000269578,,19
19214,ENSG00000261710,,8
19215,ENSG00000262635,TDO2,HSCHR4_1_CTG12
19216,ENSG00000141979,,19
19217,ENSG00000253286,,8
19218,ENSG00000173611,SCAI,9
19219,ENSG00000279748,,19
19220,ENSG00000259631,,8
19221,ENSG00000206144,MAPK6P1,8
19222,ENSG00000137872,SEMA6D,15
19223,ENSG00000267629,,19
19224,ENSG00000258114,,10
19225,ENSG00000278641,DUX4L15,10
19226,ENSG00000254227,,8
19227,ENSG00000255081,,11
19228,ENSG00000253868,FER1L6-AS2,8
19229,ENSG00000196177,ACADSB,10
19230,ENSG00000267218,,19
19231,ENSG00000271820,,6
19232,ENSG00000253470,,8
19233,ENSG00000101680,LAMA1,18
19234,ENSG00000271560,,8
19235,ENSG00000287845,,4
19236,ENSG00000268790,,19
19237,ENSG00000173227,SYT12,11
19238,ENSG00000213078,,6
19239,ENSG00000118689,FOXO3,6
19240,ENSG00000147604,RPL7,8
19241,ENSG00000138653,NDST4,4
19242,ENSG00000232379,RPL22P23,X
19243,ENSG00000237307,SRRM1P3,X
19244,ENSG00000165370,GPR101,X
19245,ENSG00000224031,TCEAL3-AS1,X
19246,ENSG00000172465,TCEAL1,X
19247,ENSG00000239789,MRPS17,7
19248,ENSG00000277170,,16
19249,ENSG00000277440,,16
19250,ENSG00000275515,,16
19251,ENSG00000180284,CNEP1R1P1,X
19252,ENSG00000280332,,19
19253,ENSG00000225096,,6
19254,ENSG00000269055,BNIP3P18,19
