MOLTID,TITLE,MOLTNBR,PANELNBR,CELLNBR,pname,cellname,VALUE,STD DEV
MT15844,taurine,371757,5,5,Breast,MDA-MB-231/ATCC,0.313,0.272
MT15845,tetradecanoic acid,371758,5,5,Breast,MDA-MB-231/ATCC,0.874,0.304
MT15846,threonine,371759,5,5,Breast,MDA-MB-231/ATCC,0.545,0.042
MT15847,trans-11-eicosenoic acid,371760,5,5,Breast,MDA-MB-231/ATCC,1.418,0.56
MT15848,trans-4-hydroxyproline,371761,5,5,Breast,MDA-MB-231/ATCC,0.845,0.054
MT15849,trehalose 6-phosphate,371762,5,5,Breast,MDA-MB-231/ATCC,0.557,0.49
MT15850,tryptophan,371763,5,5,Breast,MDA-MB-231/ATCC,1.315,0.168
MT15851,tyramine,371764,5,5,Breast,MDA-MB-231/ATCC,1.063,0.11
MT15852,tyrosine,371765,5,5,Breast,MDA-MB-231/ATCC,0.744,0.054
MT15853,uracil,371766,5,5,Breast,MDA-MB-231/ATCC,1.223,0.285
MT15854,urea,371767,5,5,Breast,MDA-MB-231/ATCC,1.349,0.088
MT15855,uric acid,371768,5,5,Breast,MDA-MB-231/ATCC,0.523,0.302
MT15856,uridine,371769,5,5,Breast,MDA-MB-231/ATCC,0.374,0.033
MT15857,uridine diphosphate-N-acetylmuraminic acid,371770,5,5,Breast,MDA-MB-231/ATCC,0.305,0
MT15858,valine,371771,5,5,Breast,MDA-MB-231/ATCC,0.897,0.042
MT15859,"X-1085 - possible isolobinine or 4-aminoestra-1,3,5(10)-triene-3,17beta-diol",371772,5,5,Breast,MDA-MB-231/ATCC,3.947,0.56
MT15860,X-1086,371773,5,5,Breast,MDA-MB-231/ATCC,0.068,0
MT15861,X-1104,371774,5,5,Breast,MDA-MB-231/ATCC,1.257,0.042
MT15862,X-1107,371775,5,5,Breast,MDA-MB-231/ATCC,0.406,0
MT15863,X-1111 - possible methylnitronitrosoguanidine or ethyl thiocarbamoylacetate,371776,5,5,Breast,MDA-MB-231/ATCC,1.612,0.087
MT15864,X-1113 - possible acetylcarnitine,371777,5,5,Breast,MDA-MB-231/ATCC,2.025,0.199
MT15865,X-1114,371778,5,5,Breast,MDA-MB-231/ATCC,0.262,0.304
MT15866,X-1122,371779,5,5,Breast,MDA-MB-231/ATCC,0.466,0
MT15867,X-1126,371780,5,5,Breast,MDA-MB-231/ATCC,0.109,0
MT15868,X-1129,371781,5,5,Breast,MDA-MB-231/ATCC,0.177,0
MT15869,X-1130,371782,5,5,Breast,MDA-MB-231/ATCC,0.432,0
MT15870,X-1213,371783,5,5,Breast,MDA-MB-231/ATCC,0.214,0
MT15871,X-1288,371784,5,5,Breast,MDA-MB-231/ATCC,1.28,0.15
MT15872,X-1330,371785,5,5,Breast,MDA-MB-231/ATCC,0.236,0
MT15873,X-1391,371786,5,5,Breast,MDA-MB-231/ATCC,0.208,0
MT15874,X-1455,371787,5,5,Breast,MDA-MB-231/ATCC,0.024,0
MT15875,X-1461,371788,5,5,Breast,MDA-MB-231/ATCC,0.437,0
MT15876,X-1465,371789,5,5,Breast,MDA-MB-231/ATCC,0.178,0
MT15877,X-1468,371790,5,5,Breast,MDA-MB-231/ATCC,0.756,0.082
MT15878,X-1496,371791,5,5,Breast,MDA-MB-231/ATCC,1.504,0.312
MT15879,X-1497,371792,5,5,Breast,MDA-MB-231/ATCC,1.268,0.223
MT15880,X-1498,371793,5,5,Breast,MDA-MB-231/ATCC,0.813,0.295
MT15881,X-1573,371794,5,5,Breast,MDA-MB-231/ATCC,2.277,0.769
MT15882,X-1575,371795,5,5,Breast,MDA-MB-231/ATCC,0.107,0
MT15883,X-1593,371796,5,5,Breast,MDA-MB-231/ATCC,0.525,0.257
MT15884,X-1595 - possible glutathione metabolite,371797,5,5,Breast,MDA-MB-231/ATCC,0.054,0
MT15885,X-1597,371798,5,5,Breast,MDA-MB-231/ATCC,0.914,0.07
MT15886,X-1609,371799,5,5,Breast,MDA-MB-231/ATCC,0.903,0.219
MT15887,X-1612,371800,5,5,Breast,MDA-MB-231/ATCC,0.239,0
MT15888,X-1616,371801,5,5,Breast,MDA-MB-231/ATCC,1.294,0.301
MT15889,X-1656,371802,5,5,Breast,MDA-MB-231/ATCC,0.863,0.123
MT15890,X-1677,371803,5,5,Breast,MDA-MB-231/ATCC,2.756,0.186
MT15891,X-1713,371804,5,5,Breast,MDA-MB-231/ATCC,0.677,0.015
MT15892,X-1733,371805,5,5,Breast,MDA-MB-231/ATCC,0.477,0
MT15893,X-1736 - retired - p-hydroxybenzaldehyde,371806,5,5,Breast,MDA-MB-231/ATCC,1.007,0.063
MT15894,X-1819,371807,5,5,Breast,MDA-MB-231/ATCC,1.911,0.498
MT15895,X-1843 - retired pieces of X-7147,371808,5,5,Breast,MDA-MB-231/ATCC,0.5,0
MT15896,X-2005,371809,5,5,Breast,MDA-MB-231/ATCC,0.16,0
MT15897,X-2008,371810,5,5,Breast,MDA-MB-231/ATCC,0.158,0
MT15898,X-2011,371811,5,5,Breast,MDA-MB-231/ATCC,0.016,0
MT15899,X-2026,371812,5,5,Breast,MDA-MB-231/ATCC,0.882,0.206
MT15900,X-2027,371813,5,5,Breast,MDA-MB-231/ATCC,1.128,0.14
MT15901,X-2041,371814,5,5,Breast,MDA-MB-231/ATCC,3.006,0.503
MT15902,X-2046,371815,5,5,Breast,MDA-MB-231/ATCC,4.315,0.657
MT15903,X-2053,371816,5,5,Breast,MDA-MB-231/ATCC,0.499,0.173
MT15904,X-2064,371817,5,5,Breast,MDA-MB-231/ATCC,1.054,0.189
MT15905,X-2074,371818,5,5,Breast,MDA-MB-231/ATCC,1.017,0.119
MT15906,X-2077,371819,5,5,Breast,MDA-MB-231/ATCC,0.195,0
MT15907,X-2088,371820,5,5,Breast,MDA-MB-231/ATCC,0.5,0
MT15908,X-2107,371821,5,5,Breast,MDA-MB-231/ATCC,1.054,0.452
MT15909,X-2108,371822,5,5,Breast,MDA-MB-231/ATCC,3.436,0.259
MT15910,X-2109,371823,5,5,Breast,MDA-MB-231/ATCC,0.755,0.074
MT15911,X-2129,371824,5,5,Breast,MDA-MB-231/ATCC,3.61,0.284
MT15912,X-2136,371825,5,5,Breast,MDA-MB-231/ATCC,1.136,0.123
MT15913,X-2138,371826,5,5,Breast,MDA-MB-231/ATCC,0.381,0
MT15914,X-2139,371827,5,5,Breast,MDA-MB-231/ATCC,1.745,0.245
MT15915,X-2177,371828,5,5,Breast,MDA-MB-231/ATCC,0.185,0
MT15916,X-2185,371829,5,5,Breast,MDA-MB-231/ATCC,0.495,0.019
MT15917,X-2193,371830,5,5,Breast,MDA-MB-231/ATCC,0.331,0
MT15918,X-2212,371831,5,5,Breast,MDA-MB-231/ATCC,1.404,0.342
MT15919,X-2255 - hydroxyproline form of bradykinin,371832,5,5,Breast,MDA-MB-231/ATCC,0.795,0.209
MT15920,X-2269,371833,5,5,Breast,MDA-MB-231/ATCC,0.326,0
MT15921,X-2272,371834,5,5,Breast,MDA-MB-231/ATCC,0.214,0
MT15922,X-2292,371835,5,5,Breast,MDA-MB-231/ATCC,1.048,0.082
MT15923,X-2366,371836,5,5,Breast,MDA-MB-231/ATCC,0.858,0.265
MT15924,X-2389,371837,5,5,Breast,MDA-MB-231/ATCC,1.152,0.328
MT15925,X-2594,371838,5,5,Breast,MDA-MB-231/ATCC,0.656,0.406
MT15926,X-2688,371839,5,5,Breast,MDA-MB-231/ATCC,1.835,0.259
MT15927,X-2690,371840,5,5,Breast,MDA-MB-231/ATCC,0.364,0.525
MT15928,X-2691,371841,5,5,Breast,MDA-MB-231/ATCC,6.413,0.923
MT15929,X-2698,371842,5,5,Breast,MDA-MB-231/ATCC,0.172,0
MT15930,X-2711,371843,5,5,Breast,MDA-MB-231/ATCC,0.748,0.167
MT15931,X-2724,371844,5,5,Breast,MDA-MB-231/ATCC,1.156,0.141
MT15932,X-2725,371845,5,5,Breast,MDA-MB-231/ATCC,0.052,0
MT15933,X-2726,371846,5,5,Breast,MDA-MB-231/ATCC,0.753,0.06
MT15934,X-2746,371847,5,5,Breast,MDA-MB-231/ATCC,1.291,0.153
MT15935,X-2753,371848,5,5,Breast,MDA-MB-231/ATCC,1.587,0.086
MT15936,X-2757,371849,5,5,Breast,MDA-MB-231/ATCC,2.394,0.181
MT15937,X-2767,371850,5,5,Breast,MDA-MB-231/ATCC,1.352,0.379
MT15938,X-2768,371851,5,5,Breast,MDA-MB-231/ATCC,0.25,0
MT15939,X-2778,371852,5,5,Breast,MDA-MB-231/ATCC,0.48,0.588
MT15940,X-2781,371853,5,5,Breast,MDA-MB-231/ATCC,0.321,0
MT15941,X-2911,371854,5,5,Breast,MDA-MB-231/ATCC,0.236,0
MT15942,X-3014,371855,5,5,Breast,MDA-MB-231/ATCC,0.618,0.377
MT15943,X-3016,371856,5,5,Breast,MDA-MB-231/ATCC,0.305,0
MT15944,X-3022,371857,5,5,Breast,MDA-MB-231/ATCC,0.415,0
MT15945,X-3034,371858,5,5,Breast,MDA-MB-231/ATCC,0.244,0.172
MT15946,X-3074,371859,5,5,Breast,MDA-MB-231/ATCC,0.066,0
MT15947,X-3085 = Inositol 2,371860,5,5,Breast,MDA-MB-231/ATCC,2.708,0.432
MT15948,X-3090,371861,5,5,Breast,MDA-MB-231/ATCC,0.078,0
MT15949,X-3091,371862,5,5,Breast,MDA-MB-231/ATCC,1.128,0.118
MT15950,X-3094,371863,5,5,Breast,MDA-MB-231/ATCC,1.098,0.068
MT15951,X-3101,371864,5,5,Breast,MDA-MB-231/ATCC,1.838,0.276
MT15952,X-3129,371865,5,5,Breast,MDA-MB-231/ATCC,0.731,0.24
MT15953,X-3138,371866,5,5,Breast,MDA-MB-231/ATCC,0.138,0
MT15954,X-3165,371867,5,5,Breast,MDA-MB-231/ATCC,0.517,0.279
MT15955,X-3176 - possible creatine,371868,5,5,Breast,MDA-MB-231/ATCC,0.973,0.064
MT15956,X-3178 - possible NH3 adduct of isobar 42,371869,5,5,Breast,MDA-MB-231/ATCC,1.312,0.2
MT15957,X-3180,371870,5,5,Breast,MDA-MB-231/ATCC,0.331,0
MT15958,X-3183 - possible gamma-L-glutamyl-L-phenylalanine,371871,5,5,Breast,MDA-MB-231/ATCC,0.075,0
MT15959,X-3216,371872,5,5,Breast,MDA-MB-231/ATCC,0.206,0
MT15960,X-3218,371873,5,5,Breast,MDA-MB-231/ATCC,0.664,0.454
MT15961,X-3234,371874,5,5,Breast,MDA-MB-231/ATCC,0.438,0
MT15962,X-3303,371875,5,5,Breast,MDA-MB-231/ATCC,1.256,0.239
MT15963,X-3358,371876,5,5,Breast,MDA-MB-231/ATCC,0.65,0.393
MT15964,X-3363,371877,5,5,Breast,MDA-MB-231/ATCC,0.287,0
MT15965,X-3365,371878,5,5,Breast,MDA-MB-231/ATCC,0.132,0
MT15966,X-3370,371879,5,5,Breast,MDA-MB-231/ATCC,0.589,0.342
MT15967,X-3380,371880,5,5,Breast,MDA-MB-231/ATCC,0.155,0
MT15968,X-3389,371881,5,5,Breast,MDA-MB-231/ATCC,0.221,0
MT15969,X-3390,371882,5,5,Breast,MDA-MB-231/ATCC,0.068,0
MT15970,X-3394,371883,5,5,Breast,MDA-MB-231/ATCC,0.264,0
MT15971,X-3400,371884,5,5,Breast,MDA-MB-231/ATCC,0.329,0
MT15972,X-3405,371885,5,5,Breast,MDA-MB-231/ATCC,0.307,0.388
MT15973,X-3435,371886,5,5,Breast,MDA-MB-231/ATCC,0.089,0
MT15974,X-3439,371887,5,5,Breast,MDA-MB-231/ATCC,2.344,0.401
MT15975,X-3450,371888,5,5,Breast,MDA-MB-231/ATCC,0.952,0.79
MT15976,X-3476,371889,5,5,Breast,MDA-MB-231/ATCC,0.184,0
MT15977,X-3489,371890,5,5,Breast,MDA-MB-231/ATCC,0.215,0
MT15978,X-3493,371891,5,5,Breast,MDA-MB-231/ATCC,0.246,0
MT15979,X-3498,371892,5,5,Breast,MDA-MB-231/ATCC,0.095,0
MT15980,X-3603,371893,5,5,Breast,MDA-MB-231/ATCC,0.904,0.149
MT15981,X-3658,371894,5,5,Breast,MDA-MB-231/ATCC,0.486,0
MT15982,X-3668,371895,5,5,Breast,MDA-MB-231/ATCC,0.349,0
MT15983,X-3697,371896,5,5,Breast,MDA-MB-231/ATCC,0.448,0
MT15984,X-3698,371897,5,5,Breast,MDA-MB-231/ATCC,0.442,0.37
MT15985,X-3705,371898,5,5,Breast,MDA-MB-231/ATCC,0.382,0
MT15986,X-3772,371899,5,5,Breast,MDA-MB-231/ATCC,0.689,0.487
MT15987,X-3776,371900,5,5,Breast,MDA-MB-231/ATCC,0.344,0
MT15988,X-3778,371901,5,5,Breast,MDA-MB-231/ATCC,0.959,0.054
MT15989,X-3802,371902,5,5,Breast,MDA-MB-231/ATCC,1.255,0.221
MT15990,X-3803,371903,5,5,Breast,MDA-MB-231/ATCC,0.191,0
MT15991,X-3806,371904,5,5,Breast,MDA-MB-231/ATCC,0.387,0
MT15992,X-3808,371905,5,5,Breast,MDA-MB-231/ATCC,0.975,0.043
MT15993,X-3810,371906,5,5,Breast,MDA-MB-231/ATCC,8.461,0.733
MT15994,X-3816,371907,5,5,Breast,MDA-MB-231/ATCC,0.705,0.435
MT15995,X-3824,371908,5,5,Breast,MDA-MB-231/ATCC,0.32,0
MT15996,X-3830,371909,5,5,Breast,MDA-MB-231/ATCC,0.316,0
MT15997,X-3832 - possible phenol sulfate,371910,5,5,Breast,MDA-MB-231/ATCC,0.218,0
MT15998,X-3833,371911,5,5,Breast,MDA-MB-231/ATCC,1.14,0.223
MT15999,X-3843,371912,5,5,Breast,MDA-MB-231/ATCC,0.437,0
MT16000,X-3888,371913,5,5,Breast,MDA-MB-231/ATCC,0.239,0
MT16001,X-3893,371914,5,5,Breast,MDA-MB-231/ATCC,0.297,0
MT16002,X-3951,371915,5,5,Breast,MDA-MB-231/ATCC,0.582,0.447
MT16003,X-3952,371916,5,5,Breast,MDA-MB-231/ATCC,0.76,0.311
MT16004,X-3955,371917,5,5,Breast,MDA-MB-231/ATCC,0.078,0
MT16005,X-3992 - possible Cl adduct of Formate dimer,371918,5,5,Breast,MDA-MB-231/ATCC,1.016,0.042
MT16006,X-3994,371919,5,5,Breast,MDA-MB-231/ATCC,0.509,0.36
MT16007,X-3996,371920,5,5,Breast,MDA-MB-231/ATCC,1.163,0.384
MT16008,X-3998,371921,5,5,Breast,MDA-MB-231/ATCC,0.117,0
MT16009,X-4003,371922,5,5,Breast,MDA-MB-231/ATCC,1.008,0.092
MT16010,X-4013,371923,5,5,Breast,MDA-MB-231/ATCC,0.336,0
MT16011,X-4015,371924,5,5,Breast,MDA-MB-231/ATCC,0.906,0.212
MT16012,X-4018,371925,5,5,Breast,MDA-MB-231/ATCC,1.491,0.276
MT16013,X-4019,371926,5,5,Breast,MDA-MB-231/ATCC,2.96,0.413
MT16014,X-4020,371927,5,5,Breast,MDA-MB-231/ATCC,1.007,0.01
MT16015,X-4027,371928,5,5,Breast,MDA-MB-231/ATCC,0.446,0.043
MT16016,X-4030 - possible glutethimide or securinine,371929,5,5,Breast,MDA-MB-231/ATCC,0.304,0
MT16017,X-4032,371930,5,5,Breast,MDA-MB-231/ATCC,0.166,0
MT16018,X-4043,371931,5,5,Breast,MDA-MB-231/ATCC,1.025,0.132
MT16019,X-4046,371932,5,5,Breast,MDA-MB-231/ATCC,0.088,0
MT16020,X-4051,371933,5,5,Breast,MDA-MB-231/ATCC,1.49,0.185
MT16021,X-4053,371934,5,5,Breast,MDA-MB-231/ATCC,1.562,0.12
MT16022,X-4058,371935,5,5,Breast,MDA-MB-231/ATCC,0.182,0
MT16023,X-4075,371936,5,5,Breast,MDA-MB-231/ATCC,0.978,0.11
MT16024,X-4096 - possible gamma-glu-gly-leu,371937,5,5,Breast,MDA-MB-231/ATCC,0.352,0.394
MT16025,X-4116,371938,5,5,Breast,MDA-MB-231/ATCC,1.066,0.066
MT16026,X-4133,371939,5,5,Breast,MDA-MB-231/ATCC,1.402,0.096
MT16027,X-4231,371940,5,5,Breast,MDA-MB-231/ATCC,1.256,0.319
MT16028,X-4238,371941,5,5,Breast,MDA-MB-231/ATCC,1.015,0.194
MT16029,X-4251,371942,5,5,Breast,MDA-MB-231/ATCC,0.896,0.005
MT16030,X-4271,371943,5,5,Breast,MDA-MB-231/ATCC,0.338,0
MT16031,X-4354,371944,5,5,Breast,MDA-MB-231/ATCC,0.954,0.056
MT16032,X-4362,371945,5,5,Breast,MDA-MB-231/ATCC,1.174,0.131
MT16033,X-4407,371946,5,5,Breast,MDA-MB-231/ATCC,0.424,0
MT16034,X-4429,371947,5,5,Breast,MDA-MB-231/ATCC,0.221,0
MT16035,X-4432,371948,5,5,Breast,MDA-MB-231/ATCC,0.294,0
MT16036,X-4503,371949,5,5,Breast,MDA-MB-231/ATCC,0.233,0
MT16037,X-4510,371950,5,5,Breast,MDA-MB-231/ATCC,0.261,0
MT16038,X-4514,371951,5,5,Breast,MDA-MB-231/ATCC,0.261,0
MT16039,X-4516,371952,5,5,Breast,MDA-MB-231/ATCC,1.028,0.067
MT16040,X-4517,371953,5,5,Breast,MDA-MB-231/ATCC,0.164,0
MT16041,X-4522,371954,5,5,Breast,MDA-MB-231/ATCC,0.208,0
MT16042,X-4523,371955,5,5,Breast,MDA-MB-231/ATCC,1.099,0.089
MT16043,X-4567,371956,5,5,Breast,MDA-MB-231/ATCC,0.465,0
MT16044,X-4593,371957,5,5,Breast,MDA-MB-231/ATCC,0.804,0.147
MT16045,X-4611,371958,5,5,Breast,MDA-MB-231/ATCC,2.81,0.574
MT16046,X-4616 - retired duplicate of 5946,371959,5,5,Breast,MDA-MB-231/ATCC,0.418,0
MT16047,X-4617,371960,5,5,Breast,MDA-MB-231/ATCC,0.752,0.454
MT16048,X-4660,371961,5,5,Breast,MDA-MB-231/ATCC,0.429,0
MT16049,X-4667,371962,5,5,Breast,MDA-MB-231/ATCC,1.358,0.049
MT16050,X-4706,371963,5,5,Breast,MDA-MB-231/ATCC,0.294,0
MT16051,X-4727,371964,5,5,Breast,MDA-MB-231/ATCC,0.336,0
MT16052,X-4811,371965,5,5,Breast,MDA-MB-231/ATCC,0.5,0
MT16053,X-4906,371966,5,5,Breast,MDA-MB-231/ATCC,0.38,0
MT16054,X-5111,371967,5,5,Breast,MDA-MB-231/ATCC,0.359,0.555
MT16055,X-5147,371968,5,5,Breast,MDA-MB-231/ATCC,0.124,0
MT16056,X-5187,371969,5,5,Breast,MDA-MB-231/ATCC,1.591,0.046
MT16057,xanthine,371970,5,5,Breast,MDA-MB-231/ATCC,0.129,0
MT16058,xanthosine,371971,5,5,Breast,MDA-MB-231/ATCC,0.108,0
MT16059,xylitol,371972,5,5,Breast,MDA-MB-231/ATCC,0.668,0.143
MT15708,(2-Aminoethyl)phosphonate,371621,5,6,Breast,HS 578T,0.214,0
MT15709,(p-Hydroxyphenyl)lactic acid,371622,5,6,Breast,HS 578T,0.664,0.292
MT15710,"2,3-diphospho-D-glyceric acid",371623,5,6,Breast,HS 578T,1.215,0.884
MT15711,2'-deoxyadenosine 5'-diphosphate,371624,5,6,Breast,HS 578T,0.324,0
MT15712,2'-deoxyuridine 5'-triphosphate,371625,5,6,Breast,HS 578T,0.222,0
MT15713,2'-deoxyuridine,371626,5,6,Breast,HS 578T,0.187,0.075
MT15714,3-hydroxy-3-methylglutarate,371627,5,6,Breast,HS 578T,0.178,0.104
MT15715,3-methyl-L-histidine,371628,5,6,Breast,HS 578T,0.315,0.041
MT15716,3-phospho-d-glycerate,371629,5,6,Breast,HS 578T,1.108,0.902
MT15717,3-phospho-l-serine,371630,5,6,Breast,HS 578T,0.191,0.123
MT15718,4-Guanidinobutanoic acid,371631,5,6,Breast,HS 578T,0.134,0
MT15719,"5,6-dihydrouracil",371632,5,6,Breast,HS 578T,0.219,0
MT15720,"5,6-Dimethylbenzimidazole",371633,5,6,Breast,HS 578T,0.064,0
MT15721,5-oxoproline,371634,5,6,Breast,HS 578T,0.48,0.09
MT15722,5'-s-methyl-5'-thioadenosine,371635,5,6,Breast,HS 578T,0.086,0
MT15723,6-phosphogluconic acid,371636,5,6,Breast,HS 578T,0.871,0.777
MT15724,acetylphosphate,371637,5,6,Breast,HS 578T,1.62,0.733
MT15725,adenine,371638,5,6,Breast,HS 578T,0.071,0
MT15726,adenosine,371639,5,6,Breast,HS 578T,0.08,0
MT15727,alanine,371640,5,6,Breast,HS 578T,0.413,0.084
MT15728,allantoin,371641,5,6,Breast,HS 578T,0.873,0.101
MT15729,alpha-D-ribose 5-phosphate,371642,5,6,Breast,HS 578T,1.08,0.553
MT15730,alpha-keto-glutarate,371643,5,6,Breast,HS 578T,0.324,0
MT15731,alpha-tocopherol,371644,5,6,Breast,HS 578T,1.13,0.902
MT15732,anthranilic acid,371645,5,6,Breast,HS 578T,0.765,0.116
MT15733,arabinose,371646,5,6,Breast,HS 578T,0.517,0.408
MT15734,arginine,371647,5,6,Breast,HS 578T,0.64,0.182
MT15735,arginino-succinate,371648,5,6,Breast,HS 578T,0.091,0
MT15736,asparagine,371649,5,6,Breast,HS 578T,0.232,0.064
MT15737,aspartate,371650,5,6,Breast,HS 578T,0.169,0.042
MT15738,beta-alanine,371651,5,6,Breast,HS 578T,0.082,0
MT15739,beta-hydroxypyruvic acid,371652,5,6,Breast,HS 578T,1.769,1.051
MT15740,beta-nicotinamide adenine dinucleotide,371653,5,6,Breast,HS 578T,0.146,0.061
MT15741,biotin,371654,5,6,Breast,HS 578T,0.111,0
MT15742,caffeine,371655,5,6,Breast,HS 578T,0.274,0
MT15743,carnitine,371656,5,6,Breast,HS 578T,0.056,0
MT15744,cholesterol,371657,5,6,Breast,HS 578T,0.991,0.104
MT15745,citric acid,371658,5,6,Breast,HS 578T,0.47,0.194
MT15746,creatinine,371659,5,6,Breast,HS 578T,0.183,0.034
MT15747,cysteine,371660,5,6,Breast,HS 578T,0.07,0
MT15748,cytidine,371661,5,6,Breast,HS 578T,1.77,0.935
MT15749,cytidine 5'-monophosphate,371662,5,6,Breast,HS 578T,0.27,0.16
MT15750,D-allose,371663,5,6,Breast,HS 578T,0.091,0
MT15751,DL-cystathionine,371664,5,6,Breast,HS 578T,0.77,0.218
MT15752,DL-homocysteine,371665,5,6,Breast,HS 578T,0.098,0
MT15753,D-ribose,371666,5,6,Breast,HS 578T,0.94,0.398
MT15754,erythrose-4-phosphate,371667,5,6,Breast,HS 578T,3.068,3.02
MT15755,ethylmalonic acid,371668,5,6,Breast,HS 578T,0.184,0
MT15756,fumaric acid,371669,5,6,Breast,HS 578T,0.555,0.061
MT15757,gamma-glu-cys,371670,5,6,Breast,HS 578T,0.284,0
MT15758,gamma-L-glutamyl-L-glutamine,371671,5,6,Breast,HS 578T,0.206,0
MT15759,gamma-L-glutamyl-L-tyrosine,371672,5,6,Breast,HS 578T,0.708,0.453
MT15760,gluconic acid,371673,5,6,Breast,HS 578T,1.934,1.17
MT15761,glucose-6-phosphate,371674,5,6,Breast,HS 578T,4.435,0.993
MT15762,glutamic acid,371675,5,6,Breast,HS 578T,0.31,0.066
MT15763,glutamine,371676,5,6,Breast,HS 578T,0.079,0
MT15764,"glutathione, reduced",371677,5,6,Breast,HS 578T,0.07,0.02
MT15765,glyceraldehyde,371678,5,6,Breast,HS 578T,0.995,0.981
MT15766,glyceric acid,371679,5,6,Breast,HS 578T,0.496,0.224
MT15767,glycerol,371680,5,6,Breast,HS 578T,0.775,0.143
MT15768,glycine,371681,5,6,Breast,HS 578T,0.286,0.121
MT15769,guanine,371682,5,6,Breast,HS 578T,1.302,0.192
MT15770,guanosine,371683,5,6,Breast,HS 578T,2.685,0.115
MT15771,guanosine 5'- monophosphate,371684,5,6,Breast,HS 578T,0.11,0
MT15772,"gulono-1,4-lactone",371685,5,6,Breast,HS 578T,0.49,0.14
MT15773,histidine,371686,5,6,Breast,HS 578T,0.394,0.151
MT15774,homogentisate,371687,5,6,Breast,HS 578T,0.089,0
MT15775,hypotaurine,371688,5,6,Breast,HS 578T,0.081,0
MT15776,hypoxanthine,371689,5,6,Breast,HS 578T,0.949,0.047
MT15777,inosine,371690,5,6,Breast,HS 578T,1.741,0.203
MT15778,inositol,371691,5,6,Breast,HS 578T,0.566,0.627
MT15779,inositol 1-phosphate,371692,5,6,Breast,HS 578T,0.76,0.162
MT15780,"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid",371693,5,6,Breast,HS 578T,1.365,0.725
MT15781,"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",371694,5,6,Breast,HS 578T,1.37,0.832
MT15782,"Isobar 19 includes D-saccharic acid, 2-deoxy-D-galactose, 2-deoxy-D-glucose, L-fucose, L-rhamnose",371695,5,6,Breast,HS 578T,6.566,5.278
MT15783,"Isobar 22 includes glutamic acid, O-acetyl-L-serine",371696,5,6,Breast,HS 578T,0.241,0.048
MT15784,"Isobar 25 includes L-gulono-1,4-lactone, glucono-gamma-lactone",371697,5,6,Breast,HS 578T,0.766,0.207
MT15785,"Isobar 27 includes L-kynurenine, alpha-2-diamino-gamma-oxobenzenebutanoic acid",371698,5,6,Breast,HS 578T,0.086,0
MT15786,"Isobar 3 includes inositol 1-phosphate, mannose 6-phosphate, glucose 6-phosphate, D-mannose 1-phosphate, alpha-D-glucose 1-phosphate, alpha-D-galactose 1 phosphate",371699,5,6,Breast,HS 578T,0.993,0.48
MT15787,"Isobar 35 includes D-arabinose 5-phosphate, D-ribulose 5-phosphate, alpha-D-ribose-5-phosphate",371700,5,6,Breast,HS 578T,0.697,0.211
MT15788,"Isobar 36 includes D-sorbitol 6-phosphate, mannitol-1-phosphate",371701,5,6,Breast,HS 578T,0.67,0.692
MT15789,"Isobar 37 includes mannitol, dulcitol",371702,5,6,Breast,HS 578T,0.454,0.544
MT15790,"Isobar 39 includes N-acetyl-D-glucosamine-6-phosphate, N-acetyl-alpha-D-glucosamine 1-phosphate",371703,5,6,Breast,HS 578T,0.528,0.125
MT15791,"Isobar 4 includes Gluconic acid, DL-arabinose, D-ribose, L-xylose, DL-lyxose, D-xylulose",371704,5,6,Breast,HS 578T,0.688,0.854
MT15792,"Isobar 6 includes valine, betaine",371705,5,6,Breast,HS 578T,0.732,0.142
MT15793,"Isobar 9 includes sucrose, beta-D-lactose, D-trehalose, D-cellobiose, D-Maltose, palatinose, melibiose, alpha-D-lactose",371706,5,6,Breast,HS 578T,5.669,4.755
MT15794,isoleucine,371707,5,6,Breast,HS 578T,0.397,0.105
MT15795,Kynurenic acid,371708,5,6,Breast,HS 578T,0.226,0.033
MT15796,lactate,371709,5,6,Breast,HS 578T,0.211,0.088
MT15797,L-allo-threonine,371710,5,6,Breast,HS 578T,0.654,0.17
MT15798,L-alpha-glycerophosphorylcholine,371711,5,6,Breast,HS 578T,0.405,0.031
MT15799,L-arabitol,371712,5,6,Breast,HS 578T,0.136,0
MT15800,L-beta-imidazolelactic acid,371713,5,6,Breast,HS 578T,0.147,0
MT15801,leucine,371714,5,6,Breast,HS 578T,0.562,0.176
MT15802,malic acid,371715,5,6,Breast,HS 578T,0.23,0.159
MT15803,malonic acid,371716,5,6,Breast,HS 578T,1.032,0.859
MT15804,mannose,371717,5,6,Breast,HS 578T,1.623,0.711
MT15805,mannose-6-phosphate,371718,5,6,Breast,HS 578T,4.07,1.996
MT15806,melatonin,371719,5,6,Breast,HS 578T,0.376,0.304
MT15807,methionine,371720,5,6,Breast,HS 578T,0.716,0.168
MT15808,N(5)-(aminocarbonyl)-L-ornithine,371721,5,6,Breast,HS 578T,0.547,0.066
MT15809,N('6)-trimethyl-l-lysine,371722,5,6,Breast,HS 578T,0.23,0.315
